Id                     Memory                     Permission Size
1                     11552                     20
2                     48                     6
3                     120                     9
4                     120                     13
5                     120                     10
6                     192                     10
7                     120                     21
8                     -62760                     16
9                     120                     17
10                     120                     11
11                     144                     16
12                     120                     9
13                     184                     11
14                     120                     14
15                     120                     16
16                     5840                     2
17                     120                     22
18                     120                     2
19                     120                     6
20                     120                     7
21                     120                     17
22                     120                     22
23                     168                     7
24                     120                     20
25                     248                     2
26                     120                     21
27                     120                     24
28                     120                     11
29                     120                     10
30                     120                     5
31                     120                     2
32                     120                     18
33                     120                     10
34                     184                     25
35                     120                     29
36                     120                     13
37                     120                     9
38                     120                     3
39                     120                     23
40                     120                     8
41                     120                     12
42                     120                     11
43                     120                     12
44                     120                     7
45                     120                     19
46                     120                     8
47                     120                     13
48                     120                     22
49                     376                     8
50                     216                     8
51                     120                     11
52                     120                     2
53                     120                     15
54                     120                     25
55                     120                     8
56                     120                     18
57                     120                     16
58                     120                     16
59                     120                     5
60                     120                     6
61                     120                     9
62                     120                     21
63                     120                     13
64                     120                     7
65                     120                     14
66                     120                     3
67                     120                     13
68                     120                     17
69                     120                     9
70                     120                     3
71                     120                     8
72                     120                     23
73                     120                     9
74                     264                     11
75                     120                     10
76                     120                     14
77                     120                     11
78                     120                     10
79                     120                     9
80                     120                     4
81                     120                     5
82                     120                     7
83                     120                     16
84                     120                     2
85                     120                     16
86                     120                     6
87                     120                     20
88                     120                     11
89                     120                     13
90                     120                     12
91                     120                     20
92                     120                     12
93                     120                     17
94                     120                     12
95                     120                     11
96                     120                     8
97                     632                     23
98                     120                     4
99                     120                     20
100                     120                     9
101                     120                     4
102                     120                     20
103                     120                     29
104                     120                     10
105                     120                     11
106                     120                     7
107                     120                     11
108                     120                     10
109                     120                     5
110                     336                     8
111                     120                     8
112                     120                     2
113                     120                     9
114                     120                     9
115                     120                     22
116                     120                     19
117                     120                     17
118                     120                     7
119                     120                     9
120                     120                     12
121                     120                     1
122                     120                     23
123                     120                     12
124                     120                     18
125                     120                     15
126                     120                     14
127                     120                     8
128                     120                     17
129                     120                     22
130                     120                     6
131                     120                     9
132                     120                     2
133                     120                     6
134                     120                     23
135                     120                     26
137                     64                     6
138                     120                     12
139                     120                     27
140                     120                     23
141                     120                     12
142                     120                     4
143                     120                     8
144                     120                     14
145                     120                     16
146                     120                     13
147                     120                     12
148                     120                     19
149                     120                     20
150                     120                     13
151                     120                     14
152                     120                     8
153                     120                     21
154                     120                     3
155                     120                     14
156                     120                     11
157                     120                     10
158                     120                     20
159                     120                     15
160                     120                     13
161                     120                     2
162                     120                     19
163                     120                     25
164                     120                     12
165                     440                     11
166                     120                     2
167                     120                     13
168                     120                     8
169                     120                     6
170                     176                     13
Total time taken: 8872
